title_en, title_cn, day_num, start_time, end_time, bookable
None,Ashtanga 基础,0,10:30,11:45,True
None,热瑜伽,0,11:45,12:45,True
None,腰腹塑形瑜伽,0,12:00,13:00,True
None,初级普拉提塑形,0,14:00,15:00,True
None,梵音基础,0,16:00,17:15,True
None,年轻态后弯流,0,18:00,19:15,True
None,全面塑形瑜伽,0,18:30,19:30,True
None,内观阴瑜伽,0,19:30,20:45,False
None,明星有氧塑形,1,10:00,11:00,True
None,梵音基础,1,10:30,11:45,True
None,正位理疗—肩颈,1,12:00,13:15,False
None,热瑜伽,1,13:15,14:15,True
None,芭蕾塑形,1,17:00,18:00,True
None,梵音基础,1,18:00,19:15,True
None,肩颈理疗,1,18:30,19:45,False
None,肩颈理疗,2,10:20,11:35,True
None,梵音基础,2,11:45,13:00,True
None,初级普拉提塑形,2,13:00,14:00,True
None,年轻态后弯流,2,14:00,15:15,True
None,内观阴瑜伽,2,16:30,17:45,True
None,安全倒立流,2,17:00,18:15,True
None,东东理疗—腰膝,2,18:30,19:45,True
